t,state,x,y,z,qw,qx,qy,qz,vx,vy,vz,fx,fy,fz
11.295,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.395,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.495,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
11.595,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.695,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.795,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
11.895,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
11.995,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.095,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.195,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
12.295,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.395,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.495,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.595,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.695,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
